item_code,source_file,date,doc_no,rec_qty,iss_qty,balance,pdf_safety_stock,pdf_maximum_stock
SP-FA001,SP-FA001.pdf,18/05/2020,REC-20050001,2.0,,2.0,2.0,4.0
SP-FA001,SP-FA001.pdf,06/06/2020,ISS-63060063,,1.0,1.0,2.0,4.0
SP-FA001,SP-FA001.pdf,19/10/2020,REC-20100127,2.0,,3.0,2.0,4.0
SP-FA001,SP-FA001.pdf,23/12/2020,ISS-63120747,,1.0,2.0,2.0,4.0
SP-FA003,SP-FA003.pdf,21/05/2020,REC-20050034,3.0,,3.0,2.0,4.0
SP-FA003,SP-FA003.pdf,14/12/2020,ISS-63120701,,1.0,2.0,2.0,4.0
SP-FA003,SP-FA003.pdf,29/07/2021,ISS-64070707,,1.0,1.0,2.0,4.0
SP-FA003,SP-FA003.pdf,29/08/2023,ISS-66080887,,1.0,0.0,2.0,4.0
SP-FA003,SP-FA003.pdf,14/10/2023,REC-23100154,3.0,,3.0,2.0,4.0
SP-FA003,SP-FA003.pdf,08/12/2023,ISS-66121296,,1.0,2.0,2.0,4.0
SP-FA003,SP-FA003.pdf,23/05/2025,ISS-68050599,,1.0,1.0,2.0,4.0
SP-FA004,SP-FA004.pdf,18/05/2020,REC-20050001,2.0,,2.0,2.0,4.0
SP-FA004,SP-FA004.pdf,30/06/2020,ISS-63060134,,1.0,1.0,2.0,4.0
SP-FA004,SP-FA004.pdf,20/12/2021,REC-21120210,3.0,,4.0,2.0,4.0
SP-FA005,SP-FA005.pdf,18/05/2020,REC-20050001,3.0,,3.0,2.0,4.0
SP-FA005,SP-FA005.pdf,22/05/2020,ISS-63050017,,1.0,2.0,2.0,4.0
SP-FA005,SP-FA005.pdf,03/08/2020,ISS-63080248,,1.0,1.0,2.0,4.0
SP-FA005,SP-FA005.pdf,06/10/2020,ISS-63100448,,1.0,0.0,2.0,4.0
SP-FA005,SP-FA005.pdf,19/10/2020,REC-20100127,2.0,,2.0,2.0,4.0
SP-FA005,SP-FA005.pdf,08/07/2021,ISS-64070643,,1.0,1.0,2.0,4.0
SP-FA005,SP-FA005.pdf,13/08/2021,ISS-64080750,,1.0,0.0,2.0,4.0
SP-FA005,SP-FA005.pdf,07/01/2022,REC-22010004,3.0,,3.0,2.0,4.0
SP-FA005,SP-FA005.pdf,27/04/2022,ISS-65040386,,1.0,2.0,2.0,4.0
SP-FA006,SP-FA006.pdf,03/07/2020,REC-20070061,4.0,,4.0,2.0,4.0
SP-FA006,SP-FA006.pdf,03/07/2020,ISS-63070138,,1.0,3.0,2.0,4.0
SP-FA006,SP-FA006.pdf,09/07/2020,ISS-63070162,,2.0,1.0,2.0,4.0
SP-FA006,SP-FA006.pdf,31/07/2020,REC-20080085,5.0,,6.0,2.0,4.0
SP-FA006,SP-FA006.pdf,05/08/2020,ISS-63080255,,1.0,5.0,2.0,4.0
SP-FA006,SP-FA006.pdf,05/08/2020,ISS-63080256,,1.0,4.0,2.0,4.0
SP-FA006,SP-FA006.pdf,26/08/2020,ISS-63080328,,1.0,3.0,2.0,4.0
SP-FA006,SP-FA006.pdf,28/08/2020,ISS-63080338,,2.0,1.0,2.0,4.0
SP-FA006,SP-FA006.pdf,09/02/2021,REC-21020020,3.0,,4.0,2.0,4.0
SP-FA006,SP-FA006.pdf,25/02/2021,ISS-64020209,,1.0,3.0,2.0,4.0
SP-FA006,SP-FA006.pdf,27/02/2021,REC-21020033,2.0,,5.0,2.0,4.0
SP-FA006,SP-FA006.pdf,09/03/2021,ISS-64030258,,1.0,4.0,2.0,4.0
SP-FA006,SP-FA006.pdf,30/03/2021,ISS-64030335,,1.0,3.0,2.0,4.0
SP-FA006,SP-FA006.pdf,06/04/2021,ISS-64040359,,1.0,2.0,2.0,4.0
SP-FA006,SP-FA006.pdf,17/05/2021,REC-21050111,2.0,,4.0,2.0,4.0
SP-FA006,SP-FA006.pdf,18/05/2021,ISS-64050508,,1.0,3.0,2.0,4.0
SP-FA006,SP-FA006.pdf,15/06/2021,ISS-64060611,,1.0,2.0,2.0,4.0
SP-FA006,SP-FA006.pdf,09/07/2021,ISS-64070650,,1.0,1.0,2.0,4.0
SP-FA006,SP-FA006.pdf,29/07/2021,REC-21070150,2.0,,3.0,2.0,4.0
SP-FA006,SP-FA006.pdf,24/08/2021,ISS-64080791,,1.0,2.0,2.0,4.0
SP-FA006,SP-FA006.pdf,07/10/2021,REC-21100178,3.0,,5.0,2.0,4.0
SP-FA006,SP-FA006.pdf,14/10/2021,ISS-64100974,,1.0,4.0,2.0,4.0
SP-FA006,SP-FA006.pdf,16/10/2021,ISS-64100984,,1.0,3.0,2.0,4.0
SP-FA006,SP-FA006.pdf,30/10/2021,REC-21100190,1.0,,4.0,2.0,4.0
SP-FA006,SP-FA006.pdf,03/11/2021,ISS-64111063,,1.0,3.0,2.0,4.0
SP-FA006,SP-FA006.pdf,20/11/2021,ISS-64111126,,1.0,2.0,2.0,4.0
SP-FA006,SP-FA006.pdf,04/03/2022,REC-22030023,4.0,,6.0,2.0,4.0
SP-FA006,SP-FA006.pdf,15/03/2022,ISS-65030244,,1.0,5.0,2.0,4.0
SP-FA006,SP-FA006.pdf,16/03/2022,ISS-65030248,,1.0,4.0,2.0,4.0
SP-FA006,SP-FA006.pdf,22/03/2022,ISS-65030272,,1.0,3.0,2.0,4.0
SP-FA006,SP-FA006.pdf,12/04/2022,ISS-65040339,,1.0,2.0,2.0,4.0
SP-FA006,SP-FA006.pdf,28/04/2022,REC-22040043,4.0,,6.0,2.0,4.0
SP-FA006,SP-FA006.pdf,14/05/2022,ISS-65050457,,1.0,5.0,2.0,4.0
SP-FA006,SP-FA006.pdf,15/05/2022,REC-22050054,1.0,,6.0,2.0,4.0
SP-FA006,SP-FA006.pdf,16/05/2022,ISS-65050461,,1.0,5.0,2.0,4.0
SP-FA006,SP-FA006.pdf,20/05/2022,ISS-65050484,,1.0,4.0,2.0,4.0
SP-FA006,SP-FA006.pdf,24/05/2022,ISS-65050494,,1.0,3.0,2.0,4.0
SP-FA006,SP-FA006.pdf,21/06/2022,REC-22060077,4.0,,7.0,2.0,4.0
SP-FA006,SP-FA006.pdf,23/06/2022,ISS-65060623,,1.0,6.0,2.0,4.0
SP-FA006,SP-FA006.pdf,24/06/2022,ISS-65060627,,1.0,5.0,2.0,4.0
SP-FA006,SP-FA006.pdf,29/06/2022,ISS-65060640,,1.0,4.0,2.0,4.0
SP-FA006,SP-FA006.pdf,30/06/2022,ISS-65060652,,1.0,3.0,2.0,4.0
SP-FA006,SP-FA006.pdf,08/07/2022,REC-22070084,3.0,,6.0,2.0,4.0
SP-FA006,SP-FA006.pdf,11/07/2022,ISS-65070690,,1.0,5.0,2.0,4.0
SP-FA006,SP-FA006.pdf,12/07/2022,ISS-65070696,,1.0,4.0,2.0,4.0
SP-FA006,SP-FA006.pdf,05/08/2022,ISS-65080777,,1.0,3.0,2.0,4.0
SP-FA006,SP-FA006.pdf,02/09/2022,REC-22090119,2.0,,5.0,2.0,4.0
SP-FA006,SP-FA006.pdf,03/09/2022,ISS-65090897,,1.0,4.0,2.0,4.0
SP-FA006,SP-FA006.pdf,20/09/2022,ISS-65090946,,1.0,3.0,2.0,4.0
SP-FA006,SP-FA006.pdf,17/10/2022,REC-22100142,2.0,,5.0,2.0,4.0
SP-FA006,SP-FA006.pdf,21/10/2022,ISS-65101068,,1.0,4.0,2.0,4.0
SP-FA006,SP-FA006.pdf,21/10/2022,ISS-65101071,,1.0,3.0,2.0,4.0
SP-FA006,SP-FA006.pdf,07/11/2022,REC-22110149,2.0,,5.0,2.0,4.0
SP-FA006,SP-FA006.pdf,28/11/2022,ISS-65111247,,1.0,4.0,2.0,4.0
SP-FA006,SP-FA006.pdf,12/12/2022,REC-22120168,2.0,,6.0,2.0,4.0
SP-FA006,SP-FA006.pdf,14/12/2022,ISS-65121323,,1.0,5.0,2.0,4.0
SP-FA006,SP-FA006.pdf,06/01/2023,ISS-66010020,,1.0,4.0,2.0,4.0
SP-FA006,SP-FA006.pdf,12/01/2023,REC-23010003,4.0,,8.0,2.0,4.0
SP-FA006,SP-FA006.pdf,13/01/2023,ISS-66010044,,1.0,7.0,2.0,4.0
SP-FA006,SP-FA006.pdf,19/01/2023,ISS-66010079,,1.0,6.0,2.0,4.0
SP-FA006,SP-FA006.pdf,02/03/2023,ISS-66030285,,1.0,5.0,2.0,4.0
SP-FA006,SP-FA006.pdf,10/03/2023,ISS-66030308,,1.0,4.0,2.0,4.0
SP-FA006,SP-FA006.pdf,03/04/2023,ISS-66040391,,1.0,3.0,2.0,4.0
SP-FA006,SP-FA006.pdf,20/04/2023,REC-23040060,4.0,,7.0,2.0,4.0
SP-FA006,SP-FA006.pdf,25/04/2023,ISS-66040455,,1.0,6.0,2.0,4.0
SP-FA006,SP-FA006.pdf,07/06/2023,ISS-66060591,,1.0,5.0,2.0,4.0
SP-FA006,SP-FA006.pdf,24/06/2023,ISS-66060660,,1.0,4.0,2.0,4.0
SP-FA006,SP-FA006.pdf,07/07/2023,ISS-66070698,,1.0,3.0,2.0,4.0
SP-FA006,SP-FA006.pdf,17/07/2023,ISS-66080874,,1.0,2.0,2.0,4.0
SP-FA006,SP-FA006.pdf,14/08/2023,ISS-66080873,,1.0,1.0,2.0,4.0
SP-FA006,SP-FA006.pdf,15/08/2023,REC-23080115,2.0,,3.0,2.0,4.0
SP-FA006,SP-FA006.pdf,24/08/2023,ISS-66080871,,1.0,2.0,2.0,4.0
SP-FA006,SP-FA006.pdf,28/08/2023,ISS-66080881,,1.0,1.0,2.0,4.0
SP-FA006,SP-FA006.pdf,12/09/2023,REC-23090127,3.0,,4.0,2.0,4.0
SP-FA006,SP-FA006.pdf,13/09/2023,ISS-66090964,,1.0,3.0,2.0,4.0
SP-FA006,SP-FA006.pdf,26/09/2023,ISS-66091020,,1.0,2.0,2.0,4.0
SP-FA006,SP-FA006.pdf,20/12/2023,ISS-66121337,,1.0,1.0,2.0,4.0
SP-FA006,SP-FA006.pdf,07/02/2024,REC-24020015,3.0,,4.0,2.0,4.0
